2017-10-30: ancient apparition, bane, huskar, legion commander, lich, magnataur, obsidian destroyer, riki, sand king, spirit breaker
2017-11-19: alchemist, bloodseeker, bounty hunter, huskar, jakiro, lion, obsidian destroyer, omniknight, skeleton king, visage
2017-11-20: dragon knight, legion commander, lycan, night stalker, omniknight, phoenix, storm spirit, tidehunter, tinker, visage
2017-11-21: batrider, doom bringer, legion commander, pangolier, puck, shadow shaman, skywrath mage, slark, weaver, witch doctor
2017-11-22: ancient apparition, axe, crystal maiden, faceless void, night stalker, phantom assassin, silencer, vengefulspirit, visage, winter wyvern
2017-11-23: bloodseeker, earth spirit, monkey king, morphling, pudge, shadow demon, slark, templar assassin, weaver, winter wyvern
2017-11-24: dazzle, death prophet, earth spirit, elder titan, furion, riki, slark, sniper, tusk, venomancer
2017-11-25: abyssal underlord, crystal maiden, elder titan, faceless void, life stealer, medusa, naga siren, slark, storm spirit, undying
2017-11-26: abaddon, disruptor, huskar, keeper of the light, lion, necrolyte, pudge, skywrath mage, sven, witch doctor
2017-11-27: faceless void, lich, nevermore, omniknight, silencer, tidehunter, venomancer, viper, visage, windrunner
2017-11-28: kunkka, legion commander, lion, meepo, oracle, puck, pudge, razor, spirit breaker, storm spirit
2017-11-29: dragon knight, gyrocopter, juggernaut, night stalker, pudge, pugna, riki, rubick, spectre, terrorblade
2017-11-30: abyssal underlord, huskar, jakiro, naga siren, rattletrap, razor, skeleton king, slardar, tusk, undying
2017-12-01: arc warden, chen, dragon knight, earthshaker, enigma, night stalker, puck, razor, visage, weaver
2017-12-02: bounty hunter, elder titan, gyrocopter, medusa, naga siren, omniknight, puck, rattletrap, skeleton king, visage
2017-12-03: ancient apparition, death prophet, juggernaut, kunkka, obsidian destroyer, phantom lancer, puck, riki, warlock, wisp
2017-12-04: dark seer, disruptor, furion, huskar, jakiro, keeper of the light, phoenix, sven, tiny, witch doctor
2017-12-05: abyssal underlord, ancient apparition, dragon knight, lion, mirana, puck, tidehunter, tinker, treant, tusk
2017-12-06: axe, enchantress, keeper of the light, lion, magnataur, nevermore, obsidian destroyer, ogre magi, skywrath mage, tidehunter
2017-12-07: abaddon, ancient apparition, invoker, lone druid, naga siren, shadow demon, skywrath mage, tinker, venomancer, weaver
2017-12-08: abyssal underlord, life stealer, lina, luna, lycan, naga siren, rubick, spirit breaker, tiny, tusk
2017-12-09: alchemist, bane, bounty hunter, elder titan, keeper of the light, monkey king, nevermore, phantom assassin, rubick, shredder
2017-12-10: disruptor, mirana, night stalker, nyx assassin, phantom lancer, queenofpain, sniper, terrorblade, visage, zuus
2017-12-11: antimage, batrider, death prophet, enigma, legion commander, life stealer, omniknight, shadow demon, spectre, wisp
2017-12-12: batrider, bloodseeker, chaos knight, medusa, mirana, phantom assassin, queenofpain, riki, slark, visage
2017-12-13: antimage, bloodseeker, ember spirit, gyrocopter, jakiro, life stealer, medusa, mirana, silencer, slark
2017-12-14: dark seer, dazzle, drow ranger, kunkka, night stalker, phoenix, skeleton king, slardar, slark, ursa
2017-12-15: beastmaster, clinkz, crystal maiden, dark willow, monkey king, phantom lancer, razor, sand king, undying, weaver
2017-12-16: beastmaster, brewmaster, drow ranger, life stealer, lone druid, obsidian destroyer, omniknight, skeleton king, slardar, troll warlord
2017-12-17: dragon knight, enchantress, life stealer, necrolyte, nevermore, night stalker, rattletrap, slardar, storm spirit, troll warlord
2017-12-18: abyssal underlord, invoker, kunkka, lich, lina, lion, naga siren, nyx assassin, oracle, rubick
2017-12-19: centaur, death prophet, juggernaut, legion commander, necrolyte, oracle, razor, rubick, skeleton king, treant
2017-12-20: abaddon, death prophet, phoenix, pugna, rattletrap, razor, rubick, techies, templar assassin, ursa
2017-12-21: ancient apparition, enigma, furion, legion commander, magnataur, nyx assassin, omniknight, pangolier, phoenix, viper
2017-12-22: abyssal underlord, bane, broodmother, doom bringer, juggernaut, leshrac, oracle, sniper, storm spirit, tidehunter
2017-12-23: broodmother, chaos knight, ember spirit, enchantress, enigma, faceless void, monkey king, rattletrap, ursa, warlock
2017-12-24: arc warden, bane, bristleback, broodmother, chen, dark willow, earthshaker, elder titan, furion, warlock
2017-12-25: alchemist, axe, bane, death prophet, earth spirit, lina, magnataur, shadow demon, terrorblade, visage
2017-12-26: batrider, dark willow, doom bringer, drow ranger, furion, kunkka, naga siren, oracle, shadow shaman, warlock
2017-12-27: abyssal underlord, chaos knight, monkey king, morphling, ogre magi, queenofpain, shredder, slardar, techies, vengefulspirit
2017-12-28: alchemist, arc warden, bristleback, doom bringer, ember spirit, faceless void, gyrocopter, luna, queenofpain, warlock
2017-12-29: alchemist, disruptor, doom bringer, legion commander, nyx assassin, obsidian destroyer, pudge, techies, tiny, troll warlord
2017-12-30: arc warden, centaur, drow ranger, ember spirit, faceless void, luna, nyx assassin, shadow shaman, shredder, skeleton king
2017-12-31: clinkz, dark seer, huskar, mirana, obsidian destroyer, riki, shadow shaman, slark, terrorblade, tidehunter
2018-01-01: bloodseeker, chaos knight, furion, huskar, lone druid, pangolier, phantom assassin, treant, undying, warlock
2018-01-02: chaos knight, clinkz, dragon knight, juggernaut, kunkka, necrolyte, riki, venomancer, winter wyvern, witch doctor
2018-01-03: axe, batrider, bloodseeker, doom bringer, jakiro, lich, luna, naga siren, phoenix, techies
2018-01-04: batrider, dark willow, furion, huskar, juggernaut, kunkka, nyx assassin, phantom lancer, slark, sniper
2018-01-05: alchemist, chen, clinkz, obsidian destroyer, pudge, skeleton king, skywrath mage, tidehunter, undying, venomancer
2018-01-06: abaddon, ancient apparition, batrider, dazzle, dragon knight, huskar, rattletrap, sven, tusk, visage
2018-01-07: brewmaster, dark seer, dragon knight, enchantress, life stealer, lina, medusa, nevermore, spectre, tusk
2018-01-08: alchemist, ancient apparition, broodmother, faceless void, kunkka, life stealer, luna, magnataur, visage, zuus
2018-01-09: arc warden, axe, chen, crystal maiden, drow ranger, enchantress, enigma, lion, nyx assassin, zuus
2018-01-10: legion commander, mirana, pangolier, phantom lancer, rattletrap, shadow demon, silencer, sniper, undying, windrunner
2018-01-11: bane, centaur, enigma, luna, magnataur, necrolyte, phantom assassin, sand king, silencer, weaver
2018-01-12: alchemist, chaos knight, dark seer, enigma, jakiro, keeper of the light, luna, ogre magi, sven, undying
2018-01-13: broodmother, clinkz, earth spirit, juggernaut, keeper of the light, nevermore, ogre magi, phoenix, shadow demon, shadow shaman
2018-01-14: ancient apparition, chaos knight, doom bringer, huskar, lone druid, necrolyte, ogre magi, queenofpain, vengefulspirit, visage
2018-01-15: beastmaster, dazzle, earthshaker, medusa, naga siren, oracle, skywrath mage, techies, terrorblade, windrunner
2018-01-16: abyssal underlord, alchemist, bounty hunter, enchantress, medusa, nevermore, pugna, templar assassin, terrorblade, viper
2018-01-17: abyssal underlord, bristleback, leshrac, phantom assassin, razor, shredder, spectre, techies, terrorblade, tidehunter
2018-01-18: antimage, bane, dark willow, mirana, oracle, puck, rattletrap, shadow demon, viper, weaver
2018-01-19: antimage, earthshaker, faceless void, keeper of the light, lion, luna, meepo, nyx assassin, techies, tusk
2018-01-20: batrider, clinkz, crystal maiden, elder titan, gyrocopter, medusa, skywrath mage, troll warlord, tusk, viper
2018-01-21: alchemist, bane, bloodseeker, dragon knight, drow ranger, earth spirit, huskar, mirana, oracle, skeleton king
2018-01-22: dark seer, dragon knight, elder titan, lina, lion, nevermore, phantom lancer, rubick, shadow demon, warlock
2018-01-23: ancient apparition, death prophet, elder titan, legion commander, luna, magnataur, oracle, sand king, vengefulspirit, weaver
2018-01-24: brewmaster, bristleback, enchantress, invoker, mirana, necrolyte, nevermore, pangolier, phantom lancer, zuus
2018-01-25: luna, meepo, necrolyte, obsidian destroyer, omniknight, phantom lancer, skywrath mage, treant, troll warlord, zuus
2018-01-26: batrider, centaur, life stealer, lion, riki, troll warlord, tusk, undying, ursa, vengefulspirit
2018-01-27: chaos knight, huskar, kunkka, legion commander, leshrac, lycan, oracle, razor, skywrath mage, tusk
2018-01-28: abaddon, juggernaut, night stalker, pugna, rattletrap, templar assassin, tidehunter, tinker, treant, troll warlord
2018-01-29: ancient apparition, centaur, chen, lion, magnataur, necrolyte, puck, skeleton king, tusk, ursa
2018-01-30: axe, brewmaster, broodmother, juggernaut, lich, monkey king, phantom assassin, phantom lancer, silencer, zuus
2018-01-31: bloodseeker, broodmother, chaos knight, huskar, lina, lycan, magnataur, pugna, queenofpain, undying
2018-02-01: bounty hunter, brewmaster, chen, disruptor, enchantress, faceless void, queenofpain, slardar, sniper, ursa
2018-02-02: antimage, bounty hunter, crystal maiden, faceless void, lina, pangolier, puck, pugna, sven, tinker
2018-02-03: abyssal underlord, arc warden, centaur, doom bringer, elder titan, invoker, monkey king, obsidian destroyer, phoenix, spirit breaker
2018-02-04: faceless void, gyrocopter, legion commander, lich, medusa, obsidian destroyer, shadow demon, sniper, tusk, ursa
2018-02-05: arc warden, doom bringer, enigma, lone druid, lycan, nevermore, shadow shaman, skywrath mage, treant, undying
2018-02-06: bane, drow ranger, lion, luna, meepo, night stalker, phantom assassin, shredder, ursa, windrunner
2018-02-07: invoker, lone druid, necrolyte, nyx assassin, omniknight, phantom lancer, pugna, shredder, storm spirit, sven
2018-02-08: alchemist, ancient apparition, enigma, magnataur, mirana, pangolier, shadow shaman, shredder, slark, tinker
2018-02-09: bloodseeker, doom bringer, dragon knight, ember spirit, meepo, riki, rubick, tiny, vengefulspirit, weaver
2018-02-10: broodmother, centaur, dark seer, earth spirit, ember spirit, monkey king, oracle, skywrath mage, storm spirit, vengefulspirit
2018-02-11: bristleback, juggernaut, keeper of the light, pangolier, silencer, slark, sniper, spirit breaker, storm spirit, techies
2018-02-12: abyssal underlord, death prophet, necrolyte, obsidian destroyer, razor, shadow shaman, silencer, spirit breaker, sven, tinker
2018-02-13: alchemist, bloodseeker, bounty hunter, dark seer, earthshaker, jakiro, lich, obsidian destroyer, templar assassin, windrunner
2018-02-14: dragon knight, oracle, pudge, razor, riki, silencer, skywrath mage, slardar, sniper, undying
2018-02-15: centaur, drow ranger, enchantress, medusa, skywrath mage, terrorblade, tiny, vengefulspirit, winter wyvern, zuus
2018-02-16: antimage, earth spirit, ember spirit, lich, life stealer, lion, shredder, spectre, tusk, ursa
2018-02-17: doom bringer, elder titan, enchantress, faceless void, juggernaut, pangolier, silencer, skywrath mage, warlock, winter wyvern
2018-02-18: abyssal underlord, bounty hunter, dazzle, lycan, phantom lancer, pudge, rattletrap, silencer, ursa, weaver
2018-02-19: clinkz, enchantress, life stealer, lion, meepo, silencer, slardar, techies, viper, winter wyvern
2018-02-20: beastmaster, brewmaster, chen, ember spirit, keeper of the light, life stealer, luna, magnataur, slark, tusk
2018-02-21: abaddon, death prophet, ember spirit, enchantress, life stealer, monkey king, obsidian destroyer, puck, sven, treant
2018-02-22: abaddon, beastmaster, bristleback, crystal maiden, dark willow, ember spirit, huskar, mirana, treant, winter wyvern
2018-02-23: ancient apparition, bane, broodmother, dark willow, enigma, medusa, omniknight, queenofpain, skeleton king, storm spirit
2018-02-24: axe, death prophet, drow ranger, keeper of the light, obsidian destroyer, phantom assassin, storm spirit, terrorblade, witch doctor, zuus
2018-02-25: abyssal underlord, alchemist, ember spirit, ogre magi, phantom assassin, rattletrap, shadow demon, slark, troll warlord, witch doctor
2018-02-26: dark willow, drow ranger, kunkka, pugna, rattletrap, riki, sniper, treant, viper, visage
2018-02-27: ancient apparition, antimage, broodmother, drow ranger, oracle, storm spirit, tiny, tusk, undying, weaver
2018-02-28: beastmaster, bounty hunter, chen, lich, lina, pangolier, phoenix, riki, rubick, silencer
2018-03-01: doom bringer, dragon knight, earth spirit, ember spirit, enchantress, invoker, lion, night stalker, terrorblade, wisp
2018-03-02: centaur, earthshaker, furion, lion, lone druid, meepo, pudge, riki, silencer, zuus
2018-03-03: abyssal underlord, beastmaster, brewmaster, jakiro, legion commander, magnataur, puck, techies, vengefulspirit, warlock
2018-03-04: bane, enchantress, furion, huskar, ogre magi, rattletrap, skeleton king, spirit breaker, tidehunter, troll warlord
2018-03-05: axe, brewmaster, earth spirit, nyx assassin, skeleton king, slark, vengefulspirit, windrunner, winter wyvern, witch doctor
2018-03-06: death prophet, juggernaut, life stealer, necrolyte, obsidian destroyer, puck, shredder, silencer, slardar, winter wyvern
2018-03-07: death prophet, disruptor, huskar, lion, mirana, pangolier, phantom lancer, shadow demon, spectre, wisp
2018-03-08: antimage, bane, earthshaker, lycan, mirana, naga siren, oracle, tidehunter, undying, windrunner
2018-03-09: bane, batrider, dazzle, queenofpain, sand king, silencer, troll warlord, viper, visage, weaver
2018-03-10: bounty hunter, earth spirit, earthshaker, lion, obsidian destroyer, shredder, slardar, terrorblade, tidehunter, tinker
2018-03-11: bounty hunter, bristleback, dragon knight, earthshaker, invoker, magnataur, night stalker, rubick, skeleton king, zuus
2018-03-12: axe, chaos knight, gyrocopter, huskar, life stealer, phantom lancer, phoenix, skywrath mage, sniper, spectre
2018-03-13: abaddon, dark seer, magnataur, medusa, ogre magi, shredder, skywrath mage, templar assassin, windrunner, wisp
2018-03-14: alchemist, crystal maiden, dragon knight, earth spirit, gyrocopter, kunkka, lich, obsidian destroyer, phoenix, shadow demon
2018-03-15: bounty hunter, centaur, life stealer, magnataur, night stalker, shadow shaman, skywrath mage, slardar, venomancer, zuus
2018-03-16: disruptor, doom bringer, furion, leshrac, lina, obsidian destroyer, oracle, pangolier, queenofpain, rubick
2018-03-17: dark seer, faceless void, juggernaut, pudge, razor, sven, tiny, undying, visage, zuus
2018-03-18: ancient apparition, antimage, arc warden, bane, death prophet, lion, monkey king, oracle, skeleton king, undying
2018-03-19: chen, drow ranger, faceless void, jakiro, meepo, obsidian destroyer, razor, storm spirit, troll warlord, witch doctor
2018-03-20: ancient apparition, bristleback, chaos knight, leshrac, naga siren, troll warlord, tusk, warlock, winter wyvern, wisp
2018-03-21: furion, lich, oracle, rattletrap, riki, rubick, shadow shaman, sven, tinker, witch doctor
2018-03-22: alchemist, axe, batrider, brewmaster, dazzle, earth spirit, elder titan, naga siren, shredder, weaver
2018-03-23: bristleback, dazzle, ember spirit, lion, magnataur, monkey king, morphling, puck, shredder, storm spirit
2018-03-24: abyssal underlord, axe, bloodseeker, furion, magnataur, pangolier, phantom assassin, shredder, spectre, zuus
2018-03-25: batrider, dragon knight, earthshaker, enchantress, monkey king, nyx assassin, queenofpain, spectre, terrorblade, troll warlord
2018-03-26: drow ranger, earthshaker, skeleton king, sniper, templar assassin, ursa, vengefulspirit, warlock, wisp, zuus
2018-03-27: antimage, axe, drow ranger, enigma, nyx assassin, pugna, sven, ursa, winter wyvern, zuus
2018-03-28: abaddon, antimage, broodmother, chen, doom bringer, gyrocopter, phantom assassin, slark, ursa, venomancer
2018-03-29: axe, crystal maiden, disruptor, phoenix, shredder, silencer, skeleton king, tidehunter, tinker, warlock
2018-03-30: abyssal underlord, bane, brewmaster, crystal maiden, furion, kunkka, life stealer, phoenix, shredder, troll warlord
2018-03-31: dark seer, enchantress, gyrocopter, huskar, naga siren, night stalker, riki, rubick, spectre, viper
2018-04-01: alchemist, brewmaster, dark willow, gyrocopter, invoker, luna, shredder, silencer, sven, techies
2018-04-02: alchemist, arc warden, beastmaster, broodmother, dazzle, dragon knight, invoker, leshrac, monkey king, tinker
2018-04-03: arc warden, axe, disruptor, jakiro, monkey king, phantom assassin, shadow shaman, treant, ursa, wisp
2018-04-04: axe, bounty hunter, clinkz, huskar, phantom assassin, phoenix, pudge, shadow demon, terrorblade, tiny
2018-04-05: invoker, jakiro, kunkka, pangolier, skywrath mage, slark, tidehunter, vengefulspirit, windrunner, wisp
2018-04-06: bane, bristleback, dazzle, doom bringer, faceless void, meepo, naga siren, nyx assassin, spirit breaker, tinker
2018-04-07: arc warden, doom bringer, keeper of the light, life stealer, skeleton king, slardar, sven, terrorblade, undying, wisp
2018-04-08: clinkz, enchantress, enigma, leshrac, lina, necrolyte, sand king, tinker, undying, witch doctor
2018-04-09: arc warden, broodmother, gyrocopter, lina, lone druid, necrolyte, nyx assassin, riki, techies, terrorblade
2018-04-10: antimage, axe, juggernaut, meepo, nevermore, pangolier, queenofpain, templar assassin, weaver, wisp
2018-04-11: batrider, chaos knight, lycan, mirana, nevermore, phantom lancer, rattletrap, spirit breaker, templar assassin, windrunner
2018-04-12: dragon knight, ember spirit, huskar, life stealer, lycan, necrolyte, nevermore, templar assassin, venomancer, wisp
2018-04-13: ancient apparition, enchantress, life stealer, naga siren, nevermore, phantom lancer, shredder, silencer, skywrath mage, vengefulspirit
2018-04-14: batrider, beastmaster, centaur, chaos knight, leshrac, lina, lone druid, naga siren, obsidian destroyer, pugna
2018-04-15: ancient apparition, batrider, gyrocopter, lion, meepo, nevermore, pangolier, silencer, templar assassin, winter wyvern
2018-04-16: centaur, ember spirit, faceless void, furion, oracle, queenofpain, silencer, skeleton king, sven, zuus
2018-04-17: puck, pudge, rattletrap, skeleton king, slark, storm spirit, tidehunter, tinker, vengefulspirit, windrunner
2018-04-18: abaddon, centaur, ember spirit, legion commander, lich, magnataur, puck, shadow shaman, tinker, weaver
2018-04-19: chen, dragon knight, life stealer, magnataur, medusa, morphling, obsidian destroyer, pangolier, razor, slardar
2018-04-20: abaddon, dark seer, ember spirit, faceless void, leshrac, mirana, skywrath mage, slark, venomancer, winter wyvern
2018-04-21: arc warden, bounty hunter, broodmother, centaur, clinkz, dark seer, luna, undying, warlock, wisp
2018-04-22: alchemist, beastmaster, centaur, dark seer, drow ranger, elder titan, jakiro, juggernaut, necrolyte, ogre magi
2018-04-23: abyssal underlord, enchantress, phantom assassin, phantom lancer, shadow shaman, spectre, spirit breaker, terrorblade, tinker, vengefulspirit
2018-04-24: arc warden, chen, disruptor, enigma, lone druid, silencer, slark, tidehunter, troll warlord, weaver
2018-04-25: abaddon, axe, faceless void, mirana, nevermore, slardar, spectre, storm spirit, tusk, ursa
2018-04-26: beastmaster, brewmaster, huskar, lich, night stalker, puck, shredder, slark, venomancer, viper
2018-04-27: bloodseeker, luna, lycan, magnataur, phantom lancer, shadow shaman, spirit breaker, sven, tusk, witch doctor
2018-04-28: abyssal underlord, ancient apparition, beastmaster, bloodseeker, earthshaker, enigma, obsidian destroyer, troll warlord, tusk, viper
2018-04-29: dazzle, death prophet, drow ranger, elder titan, lion, nevermore, sniper, viper, wisp, zuus
2018-04-30: alchemist, crystal maiden, dazzle, disruptor, dragon knight, invoker, magnataur, omniknight, templar assassin, venomancer
2018-05-01: axe, enchantress, legion commander, morphling, obsidian destroyer, omniknight, rubick, sven, visage, weaver
2018-05-02: alchemist, dazzle, doom bringer, juggernaut, keeper of the light, lina, medusa, nyx assassin, treant, vengefulspirit
2018-05-03: abyssal underlord, crystal maiden, dark willow, elder titan, enchantress, naga siren, obsidian destroyer, puck, shadow demon, windrunner
2018-05-04: drow ranger, earthshaker, invoker, kunkka, leshrac, lina, shadow demon, ursa, warlock, witch doctor
2018-05-05: bloodseeker, huskar, lion, mirana, nyx assassin, oracle, queenofpain, rattletrap, templar assassin, visage
2018-05-06: bane, batrider, bounty hunter, bristleback, dazzle, dragon knight, lina, mirana, viper, windrunner
2018-05-07: alchemist, bloodseeker, broodmother, lycan, ogre magi, oracle, pugna, silencer, storm spirit, tidehunter
2018-05-08: abyssal underlord, bane, dazzle, death prophet, lich, lion, spectre, storm spirit, tinker, venomancer
2018-05-09: abaddon, beastmaster, chen, ember spirit, enchantress, luna, slark, tinker, tiny, troll warlord
2018-05-10: axe, doom bringer, huskar, oracle, queenofpain, riki, skywrath mage, treant, vengefulspirit, venomancer
2018-05-11: antimage, axe, batrider, beastmaster, bloodseeker, chen, drow ranger, ember spirit, obsidian destroyer, skeleton king
2018-05-12: leshrac, necrolyte, night stalker, silencer, spectre, ursa, venomancer, warlock, windrunner, wisp
2018-05-13: arc warden, bounty hunter, centaur, chaos knight, ember spirit, lone druid, phantom lancer, techies, tinker, weaver
2018-05-14: bounty hunter, crystal maiden, faceless void, jakiro, lone druid, luna, meepo, queenofpain, techies, tinker
2018-05-15: antimage, bane, bounty hunter, drow ranger, enigma, faceless void, kunkka, luna, spirit breaker, undying
2018-05-16: abyssal underlord, elder titan, gyrocopter, huskar, naga siren, omniknight, rattletrap, riki, undying, ursa
2018-05-17: dazzle, death prophet, gyrocopter, luna, morphling, pangolier, riki, tidehunter, tinker, witch doctor
2018-05-18: bloodseeker, broodmother, disruptor, doom bringer, enigma, gyrocopter, jakiro, kunkka, tidehunter, zuus
2018-05-19: centaur, dark seer, enchantress, lone druid, lycan, morphling, skywrath mage, troll warlord, venomancer, warlock
2018-05-20: centaur, chaos knight, dazzle, kunkka, lion, lone druid, pangolier, pugna, silencer, templar assassin
2018-05-21: arc warden, crystal maiden, dark willow, earthshaker, juggernaut, lich, magnataur, silencer, weaver, zuus
2018-05-22: abyssal underlord, arc warden, chaos knight, enigma, life stealer, meepo, puck, pugna, razor, spectre
2018-05-23: arc warden, bane, earth spirit, elder titan, jakiro, pudge, tinker, visage, warlock, witch doctor
2018-05-24: alchemist, antimage, crystal maiden, earthshaker, huskar, lich, night stalker, omniknight, oracle, ursa
2018-05-25: alchemist, antimage, crystal maiden, furion, invoker, nyx assassin, puck, skeleton king, visage, witch doctor
2018-05-26: dazzle, doom bringer, drow ranger, enigma, sven, terrorblade, tiny, troll warlord, ursa, wisp
2018-05-27: antimage, bristleback, clinkz, drow ranger, lion, nyx assassin, pangolier, skeleton king, tinker, tusk
2018-05-28: batrider, broodmother, elder titan, furion, keeper of the light, sniper, ursa, vengefulspirit, warlock, zuus
2018-05-29: crystal maiden, earthshaker, magnataur, naga siren, pugna, skywrath mage, techies, tusk, viper, wisp
2018-05-30: beastmaster, crystal maiden, earthshaker, huskar, juggernaut, oracle, phantom assassin, queenofpain, shredder, techies
2018-05-31: bounty hunter, brewmaster, chen, juggernaut, legion commander, nevermore, pudge, sand king, shredder, troll warlord
2018-06-01: abyssal underlord, arc warden, batrider, bounty hunter, dark seer, medusa, meepo, pangolier, pudge, razor
2018-06-02: kunkka, obsidian destroyer, rubick, shadow demon, slardar, slark, spectre, storm spirit, ursa, warlock
2018-06-03: drow ranger, huskar, lion, monkey king, naga siren, nevermore, techies, templar assassin, tusk, warlock
2018-06-04: bounty hunter, chen, clinkz, disruptor, leshrac, skywrath mage, undying, visage, winter wyvern, zuus
2018-06-05: ancient apparition, antimage, broodmother, furion, gyrocopter, nevermore, spirit breaker, sven, tiny, windrunner
2018-06-06: ancient apparition, batrider, dark willow, doom bringer, drow ranger, ember spirit, phantom assassin, pudge, queenofpain, rattletrap
2018-06-07: abaddon, bounty hunter, dragon knight, elder titan, juggernaut, necrolyte, tiny, troll warlord, undying, weaver
2018-06-08: furion, jakiro, keeper of the light, meepo, nevermore, phantom lancer, shadow demon, shadow shaman, sniper, witch doctor
2018-06-09: beastmaster, faceless void, legion commander, morphling, naga siren, pangolier, pudge, rubick, sniper, sven
2018-06-10: chen, dark seer, disruptor, faceless void, lina, lion, luna, necrolyte, ogre magi, terrorblade
2018-06-11: alchemist, crystal maiden, gyrocopter, lone druid, luna, meepo, omniknight, pangolier, phoenix, techies
2018-06-12: abyssal underlord, bristleback, doom bringer, lycan, nevermore, puck, techies, tiny, viper, wisp
2018-06-13: arc warden, bristleback, dark willow, ember spirit, huskar, life stealer, lina, monkey king, slardar, venomancer
2018-06-14: antimage, bristleback, enigma, gyrocopter, leshrac, lycan, ogre magi, pugna, shadow shaman, zuus
2018-06-15: ember spirit, kunkka, magnataur, night stalker, razor, sniper, spirit breaker, sven, terrorblade, wisp
2018-06-16: abyssal underlord, antimage, bristleback, earthshaker, huskar, meepo, night stalker, pudge, pugna, warlock
2018-06-17: clinkz, dragon knight, drow ranger, huskar, necrolyte, obsidian destroyer, puck, templar assassin, tiny, windrunner
2018-06-18: bane, ember spirit, queenofpain, silencer, skywrath mage, sniper, storm spirit, tiny, windrunner, winter wyvern
2018-06-19: beastmaster, bounty hunter, earthshaker, huskar, lich, phoenix, sniper, tiny, visage, witch doctor
2018-06-20: arc warden, batrider, chen, dragon knight, faceless void, invoker, mirana, necrolyte, sniper, vengefulspirit
2018-06-21: antimage, chen, crystal maiden, enigma, faceless void, leshrac, mirana, nyx assassin, tidehunter, wisp
2018-06-22: ancient apparition, bounty hunter, drow ranger, legion commander, omniknight, pangolier, shredder, storm spirit, tidehunter, tinker
2018-06-23: dark seer, legion commander, life stealer, lone druid, nyx assassin, shadow demon, slark, techies, terrorblade, tusk
2018-06-24: brewmaster, clinkz, dark willow, earth spirit, enchantress, invoker, naga siren, phantom lancer, sand king, visage
2018-06-25: axe, chaos knight, crystal maiden, jakiro, night stalker, phantom assassin, slardar, viper, visage, windrunner
2018-06-26: ancient apparition, batrider, life stealer, morphling, obsidian destroyer, slardar, tidehunter, warlock, windrunner, winter wyvern
2018-06-27: bloodseeker, drow ranger, invoker, leshrac, nyx assassin, riki, shadow demon, sniper, sven, templar assassin
2018-06-28: centaur, ember spirit, meepo, omniknight, pudge, rubick, skywrath mage, sniper, vengefulspirit, visage
2018-06-29: axe, bloodseeker, dark willow, death prophet, earthshaker, life stealer, naga siren, queenofpain, vengefulspirit, viper
2018-06-30: alchemist, ancient apparition, furion, huskar, life stealer, luna, puck, pudge, skywrath mage, tidehunter
2018-07-01: bounty hunter, drow ranger, earth spirit, medusa, meepo, obsidian destroyer, treant, viper, wisp, zuus
2018-07-02: batrider, bounty hunter, earth spirit, earthshaker, elder titan, lone druid, phantom lancer, queenofpain, sniper, sven
